2012-01-31,1490
2012-02-01,1495
2012-02-02,1486
2012-02-03,1518
2012-02-04,492
2012-02-05,525
2012-02-06,1389
2012-02-07,1332
2012-02-08,1307
2012-02-09,1380
2012-02-10,1772
2012-02-11,547
2012-02-12,551
2012-02-13,1313
2012-02-14,1405
2012-02-15,1289
2012-02-16,1208
2012-02-17,1120
2012-02-18,495
2012-02-19,407
2012-02-20,1128
2012-02-21,1122
2012-02-22,1000
2012-02-23,1124
2012-02-24,1046
2012-02-25,364
2012-02-26,463
2012-02-27,1066
2012-02-28,1132
2012-02-29,1072
2012-03-01,1064
2012-03-02,965
2012-03-03,470
2012-03-04,403
2012-03-05,1063
2012-03-06,916
2012-03-07,739
2012-03-08,1074
2012-03-09,1078
2012-03-10,342
2012-03-11,280
2012-03-12,1070
2012-03-13,1015
2012-03-14,1090
2012-03-15,960
2012-03-16,965
2012-03-17,389
2012-03-18,369
2012-03-19,1008
2012-03-20,1009
2012-03-21,1064
2012-03-22,971
2012-03-23,977
2012-03-24,311
2012-03-25,374
2012-03-26,910
2012-03-27,1021
2012-03-28,1023
2012-03-29,1031
2012-03-30,948
2012-03-31,334
2012-04-01,411
2012-04-02,917
2012-04-03,1021
2012-04-04,991
2012-04-05,1031
2012-04-06,941
2012-04-07,336
2012-04-08,382
2012-04-09,1005
2012-04-10,1029
2012-04-11,942
2012-04-12,1111
2012-04-13,1021
2012-04-14,338
2012-04-15,392
2012-04-16,938
2012-04-17,1081
2012-04-18,1038
2012-04-19,1044
2012-04-20,1018
2012-04-21,356
2012-04-22,371
2012-04-23,980
2012-04-24,1001
2012-04-25,1056
2012-04-26,1081
2012-04-27,1060
